Asset ID,Particulars,Group,Brand,Model No,Serial No,Tag,Floor,Holder
MRD-FA-1001,CNC Vertical Machining Center,Production Machinery,Haas,VF-4,HC-2291-MRD,MRD-TAG-1001,CNC Hall 1,S. Kulkarni
MRD-FA-1002,CNC Turning Lathe,Production Machinery,Fanuc,Alpha-T21,FN-88410,MRD-TAG-1002,CNC Hall 2,S. Kulkarni
MRD-FA-1003,Air Compressor 30kW,Utilities,Atlas Copco,GA-30,AC-304512,MRD-TAG-1003,Workshop,P. Yadav
MRD-FA-1004,Injection Moulding Machine 120T,Production Machinery,Engel,Duo-120,EN-120776,MRD-TAG-1004,Assembly Line 1,R. Deshmukh
MRD-FA-1005,Hydraulic Pallet Stacker,Material Handling,Godrej,PS-2030,GJ-2024-3311,MRD-TAG-1005,Raw Material Store,M. Joshi
MRD-FA-1006,Industrial Storage Racking (Bay 4),Storage Infrastructure,Fami,FAMI-90B4,—,MRD-TAG-1006,Warehouse Block B,M. Joshi
MRD-FA-1007,Precision Digital Vernier Caliper Set,Inspection Equipment,Mitutoyo,CD-20APX,MT-55102,MRD-TAG-1007,FG Bay 1,A. Iyer
MRD-FA-1008,Server Rack 42U with UPS,IT Equipment,APC,SR-42U-10K,APC-90333,MRD-TAG-1008,Server Room,N. Firodia
MRD-FA-1009,CAD Workstation HP Z8,IT Equipment,HP,Z8-G5,HPZ8-77421,MRD-TAG-1009,Design Studio,N. Firodia
MRD-FA-1010,Diesel Generator 125 kVA,Utilities,Kirloskar,KG-125AS,KOEL-12566,MRD-TAG-1010,Annex Shed,P. Yadav
