Asset ID,Description,Category,Make,Model,Serial No,Barcode,Location,Custodian
MRD-FA-2201,Vertical Machining Center VMC-850,Production Machinery,Bharat Fritz Werner,VMC-850,BFW-88213,BC-MRD-1201,CNC Hall 1,R. Tambat
MRD-FA-2202,CNC Turning Center ST-20,Production Machinery,ACE Designers,LT-20,ACE-44190,BC-MRD-1202,CNC Hall 2,S. Pawar
MRD-FA-2203,Hydraulic Pallet Truck 2.5T,Material Handling,Godrej,HPD-25,GD-33077,BC-MRD-1203,FG Bay 1,D. Joshi
MRD-FA-2204,Server Rack 42U with PDU,IT Infrastructure,APC,SR42U,AP-77231,BC-MRD-1204,Server Room,S. Iyer
MRD-FA-2205,Air Compressor 15 kW,Utilities,Atlas Copco,GA-15,AC-20988,BC-MRD-1205,Workshop,M. Bhosale
MRD-FA-2206,Diesel Generator 125 kVA,Utilities,Kirloskar,KG1-125AS,KO-51120,BC-MRD-1206,Maintenance Department,V. Kale
MRD-FA-2207,Assembly Conveyor Section C,Production Machinery,Flexlink,FL-C12,FX-12045,BC-MRD-1207,Assembly Line 1,P. Shinde
MRD-FA-2208,Automatic Band Sealer,Packaging,Sealpac,SP-900,SP-66334,BC-MRD-1208,Finished Goods Store,A. More
MRD-FA-2209,3-Axis Coordinate Measuring Machine,Quality & Inspection,Carl Zeiss,Contura,CZ-30071,BC-MRD-1209,Workshop,K. Menon
MRD-FA-2210,Warehouse Storage Rack Bay 12,Storage & Racking,Godrej,GR-B12,,BC-MRD-1210,RM Bay,N. Gaikwad
MRD-FA-2211,Fire Extinguisher Cabinet B2,Safety Equipment,Safequip,SQ-B2,,,Cafeteria Block C,Facilities Team
MRD-FA-2212,Design Workstation Dell 7550,IT Infrastructure,Dell,Precision 7550,DL-91256,BC-MRD-1212,Design Studio,A. Rahane
